dataset,task,db_min_timestamp,db_max_timestamp,status,task_type,entity_table,delta_w_days,delta_i_days,delta_i_over_w,n_episodes,n_splits,first_split,val_timestamp,test_timestamp,rows_total,rows_min,rows_median,rows_max,reason,error
rel-avito,ad-ctr,2015-04-25 00:00:00,2015-05-20 17:59:56,ok,regression,AdsInfo,4.0,6.0,1.5,2.0,4.0,2015-04-26 00:00:00,2015-05-08 00:00:00,2015-05-14 00:00:00,5331.0,1766.0,2665.5,3565.0,,
rel-avito,user-visits,2015-04-25 00:00:00,2015-05-20 17:59:56,ok,binary_classification,UserInfo,4.0,6.0,1.5,2.0,4.0,2015-04-26 00:00:00,2015-05-08 00:00:00,2015-05-14 00:00:00,87388.0,29979.0,43694.0,57409.0,,
rel-avito,user-clicks,2015-04-25 00:00:00,2015-05-20 17:59:56,ok,binary_classification,UserInfo,4.0,6.0,1.5,2.0,4.0,2015-04-26 00:00:00,2015-05-08 00:00:00,2015-05-14 00:00:00,61090.0,21183.0,30545.0,39907.0,,
rel-avito,user-ad-visit,2015-04-25 00:00:00,2015-05-20 17:59:56,skipped,,,,,,,,,,,,,,,recommendation/link-prediction,
rel-avito,searchstream-click,2015-04-25 00:00:00,2015-05-20 17:59:56,skipped,,,,,,,,,,,,,,,autocomplete,
rel-avito,searchinfo-isuserloggedon,2015-04-25 00:00:00,2015-05-20 17:59:56,skipped,,,,,,,,,,,,,,,autocomplete,
rel-event,user-attendance,1912-01-01 05:59:24.003000,2222-02-02 00:00:00.002000,ok,regression,users,7.0,8.0,1.1428571428571428,10.0,12.0,2012-06-20 00:00:00,2012-11-21 00:00:00,2012-11-29 00:00:00,20948.0,691.0,1629.0,5654.0,,
rel-event,user-repeat,1912-01-01 05:59:24.003000,2222-02-02 00:00:00.002000,ok,binary_classification,users,7.0,8.0,1.1428571428571428,9.0,11.0,2012-07-11 00:00:00,2012-11-21 00:00:00,2012-11-29 00:00:00,3994.0,177.0,285.0,981.0,,
rel-event,user-ignore,1912-01-01 05:59:24.003000,2222-02-02 00:00:00.002000,error,,,,,,,,,,,,,,,,SHA256 hash of downloaded file (user-ignore.zip) does not match the known hash: expected 5c7b40da7102336cf6ea2628c403a651005c9257b5f8d67fcebdb0a16f1d4fb1 but got 987265a7dcbdf58c307fa612088cb8afb8e94b8c6cacb0766bdcaa3eef122d7c. Deleted download for safety. The downloaded file may have been corrupted or the known hash may be outdated.
rel-event,event_interest-interested,1912-01-01 05:59:24.003000,2222-02-02 00:00:00.002000,skipped,,,,,,,,,,,,,,,autocomplete,
rel-event,event_interest-not_interested,1912-01-01 05:59:24.003000,2222-02-02 00:00:00.002000,skipped,,,,,,,,,,,,,,,autocomplete,
rel-event,users-birthyear,1912-01-01 05:59:24.003000,2222-02-02 00:00:00.002000,skipped,,,,,,,,,,,,,,,autocomplete,
rel-trial,study-outcome,2000-01-01 00:00:00,2023-12-11 00:00:00,ok,binary_classification,studies,365.0,366.0,1.0027397260273974,7.0,9.0,2001-01-05 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,12580.0,960.0,1837.0,2246.0,,
rel-trial,study-adverse,2000-01-01 00:00:00,2023-12-11 00:00:00,ok,regression,studies,365.0,366.0,1.0027397260273974,7.0,9.0,2001-01-05 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,45842.0,3596.0,7034.0,8174.0,,
rel-trial,site-success,2000-01-01 00:00:00,2023-12-11 00:00:00,ok,regression,facilities,365.0,366.0,1.0027397260273974,7.0,9.0,2001-01-05 00:00:00,2020-01-01 00:00:00,2021-01-01 00:00:00,168903.0,7785.0,25826.0,41160.0,,
rel-trial,condition-sponsor-run,2000-01-01 00:00:00,2023-12-11 00:00:00,skipped,,,,,,,,,,,,,,,recommendation/link-prediction,
rel-trial,site-sponsor-run,2000-01-01 00:00:00,2023-12-11 00:00:00,skipped,,,,,,,,,,,,,,,recommendation/link-prediction,
rel-trial,studies-enrollment,2000-01-01 00:00:00,2023-12-11 00:00:00,skipped,,,,,,,,,,,,,,,autocomplete,
rel-trial,studies-has_dmc,2000-01-01 00:00:00,2023-12-11 00:00:00,skipped,,,,,,,,,,,,,,,autocomplete,
rel-trial,eligibilities-adult,2000-01-01 00:00:00,2023-12-11 00:00:00,skipped,,,,,,,,,,,,,,,autocomplete,
rel-trial,eligibilities-child,2000-01-01 00:00:00,2023-12-11 00:00:00,skipped,,,,,,,,,,,,,,,autocomplete,
rel-hm,user-item-purchase,2019-09-07 00:00:00,2020-09-22 00:00:00,skipped,,,,,,,,,,,,,,,recommendation/link-prediction,
rel-hm,user-churn,2019-09-07 00:00:00,2020-09-22 00:00:00,ok,binary_classification,customer,7.0,7.0,1.0,52.0,54.0,2019-09-09 00:00:00,2020-09-07 00:00:00,2020-09-14 00:00:00,3878451.0,48169.0,71642.5,136619.0,,
rel-hm,item-sales,2019-09-07 00:00:00,2020-09-22 00:00:00,ok,regression,article,7.0,7.0,1.0,52.0,54.0,2019-09-09 00:00:00,2020-09-07 00:00:00,2020-09-14 00:00:00,5488184.0,105542.0,105542.0,105542.0,,
rel-hm,transactions-price,2019-09-07 00:00:00,2020-09-22 00:00:00,skipped,,,,,,,,,,,,,,,autocomplete,
rel-arxiv,paper-citation,2018-01-01 00:00:00,2023-12-31 00:00:00,ok,binary_classification,papers,182.0,365.0,2.0054945054945055,3.0,5.0,2018-01-06 00:00:00,2022-01-01 00:00:00,2023-01-01 00:00:00,670516.0,155845.0,168407.0,346264.0,,
